Region,DATE,w_PCPI
Northeast,2010-08-01,49483.661278343454
Northeast,2010-09-01,49652.29556021283
Northeast,2010-10-01,49820.93262077419
Northeast,2010-11-01,49989.57245718294
Northeast,2010-12-01,50158.215066598365
Northeast,2011-01-01,50326.86044618361
Northeast,2011-02-01,50453.93793233812
Northeast,2011-03-01,50581.01930890924
Northeast,2011-04-01,50708.10457285008
Northeast,2011-05-01,50835.19372111688
Northeast,2011-06-01,50962.2867506691
Northeast,2011-07-01,51089.38365846932
Northeast,2011-08-01,51216.484441483364
Northeast,2011-09-01,51343.58909668015
Northeast,2011-10-01,51470.697621031795
Northeast,2011-11-01,51597.81001151356
Northeast,2011-12-01,51724.92626510386
Northeast,2012-01-01,51852.04637878426
Northeast,2012-02-01,51856.13948273631
Northeast,2012-03-01,51860.23310847231
Northeast,2012-04-01,51864.32725568817
Northeast,2012-05-01,51868.421924080016
Northeast,2012-06-01,51872.51711334425
Northeast,2012-07-01,51876.612823177486
Northeast,2012-08-01,51880.709053276565
Northeast,2012-09-01,51884.80580333859
Northeast,2012-10-01,51888.90307306089
Northeast,2012-11-01,51893.00086214101
Northeast,2012-12-01,51897.09917027674
Northeast,2013-01-01,51901.19799716612
Northeast,2013-02-01,52047.82295762315
Northeast,2013-03-01,52194.449287438416
Northeast,2013-04-01,52341.07698594752
Northeast,2013-05-01,52487.706052486516
Northeast,2013-06-01,52634.33648639188
Northeast,2013-07-01,52780.96828700051
Northeast,2013-08-01,52927.60145364973
Northeast,2013-09-01,53074.23598567731
Northeast,2013-10-01,53220.87188242142
Northeast,2013-11-01,53367.50914322068
Northeast,2013-12-01,53514.147767414135
Northeast,2014-01-01,53660.787754341254
Northeast,2014-02-01,53839.065974675636
Northeast,2014-03-01,54017.35536207166
Northeast,2014-04-01,54195.65591496224
Northeast,2014-05-01,54373.96763178053
Northeast,2014-06-01,54552.29051096003
Northeast,2014-07-01,54730.624550934495
Northeast,2014-08-01,54908.96975013801
Northeast,2014-09-01,55087.32610700491
Northeast,2014-10-01,55265.69361996986
